seller_id,total_revenue,total_orders,avg_order_value,avg_delivery_days,late_deliveries,total_deliveries,late_rate
0015a82c2db000af6aaaf3ae2ecb0532,2748.06,3,916.02,10.333333333333334,0,3,0.0
001cca7ae9ae17fb1caed9dfb1094831,33934.17,200,141.9839748953975,12.628205128205128,13,239,5.44
001e6ad469a905060d959994f1b41e4f,267.94,1,267.94,,0,1,0.0
002100f778ceb8431b7a1020ff7ab48f,2028.1599999999999,51,36.87563636363636,15.777777777777779,9,55,16.36
003554e2dce176b5555353e4f3555ac8,139.38,1,139.38,4.0,0,1,0.0
004c9cd9d87a3c30c522c48c4fc07416,23263.94,158,136.84670588235292,13.958333333333334,13,170,7.65
00720abe85ba0859807595bbf045a33b,1323.48,13,50.903076923076924,8.153846153846153,2,26,7.69
00ab3eff1b5192e5f1a63bcecfee11c8,110.08,1,110.08,9.0,0,1,0.0
00d8b143d12632bad99c0ad66ad52825,137.1,1,137.1,7.0,0,1,0.0
00ee68308b45bc5e2660cd833c3f81cc,23440.66,135,136.2829069767442,8.732558139534884,14,172,8.14
00fc707aaaad2d31347cf883cd2dfe10,14969.99,103,110.88881481481481,15.348148148148148,6,135,4.44
010543a62bd80aa422851e79a3bc7540,1447.95,2,723.975,8.5,0,2,0.0
010da0602d7774602cd1b3f5fb7b709e,1079.75,1,215.95,26.0,0,5,0.0
011b0eaba87386a2ae96a7d32bb531d1,129.16,1,64.58,25.0,0,2,0.0
01266d4c46afa519678d16a8b683d325,137.48,3,45.82666666666666,5.333333333333333,0,3,0.0
013900e863eace745d3ec7614cab5b1a,2089.37,23,80.36038461538462,11.038461538461538,0,26,0.0
014c0679dd340a0e338872e7ec85666a,7686.31,14,512.4206666666666,18.533333333333335,2,15,13.33
014d9a685fd57276679edd00e07089e5,876.81,11,73.0675,8.5,0,12,0.0
0176f73cc1195f367f7b32db1e5b3aa8,6020.11,38,154.36179487179487,12.947368421052632,4,39,10.26
01bcc9d254a0143f0ce9791b960b2a47,1798.87,11,163.53363636363636,12.4,0,11,0.0
01c97ebb5cdac52891c0ed1c37ba0012,756.0,9,63.0,12.333333333333334,0,12,0.0
01cf7e3d21494c41fb86034f2e714fa1,11738.18,61,175.19671641791047,11.076923076923077,3,67,4.48
01ed254b9ff8407dfb9d99ba1e17d923,1533.71,5,306.742,6.4,0,5,0.0
01fd077212124329bac32490e8ef80d9,1783.36,31,45.727179487179484,7.666666666666667,1,39,2.56
